Inlet velocity,Offset distance,Number of airfoils,Net Pressure (Pa),Surface Heat Transfer Coef. On contact_region_2-trg ([W/(m^2 K)]),Efficiency
1.757,30000,1,7312.8085,7214.5911,1
1.757,30000,5,9053.63475,8235.67825,1.184612
1.757,30000,10,10794.461,9256.7654,1.358421
1.757,30000,15,11818.256,9964.1805,1.451195
1.757,30000,20,13214.098,11124.173,1.564112
1.757,30000,25,14407.779,11912.042,1.666945
1.757,30000,30,15512.212,12356.429,1.772947
1.757,35000,1,10667.21,9157.7799,1
1.757,35000,5,11775.883,11120.556,1.034738
1.757,35000,10,13177.813,12303.609,1.119554
1.757,35000,15,13845.863,12967.703,1.155877
1.757,35000,20,14513.914,13272.39,1.202303
1.757,35000,25,16386.451,13423.702,1.352301
1.757,35000,30,18258.988,13575.014,1.501214
1.757,35000,35,18561.517,13619.274,1.524432
1.757,35000,40,18708.264,13663.535,1.534823
1.757,35000,45,17524.4,12448.454,1.483032
1.757,40000,1,10761.435,9096.195,1
1.757,40000,5,11492.259,10862.753,1.006565
1.757,40000,10,13527.555,12629.311,1.126789
1.757,40000,15,14552.756,13115.743,1.197009
1.757,40000,20,16011.956,13569.19,1.302195
1.757,40000,25,17627.287,13897.434,1.422188
1.757,40000,30,18605.375,13905.671,1.500805
1.757,40000,35,19303.339,13942.397,1.555738
1.757,40000,40,19857.857,13729.924,1.608642
1.757,40000,45,19621.71,13789.99,1.587201
1.757,45000,1,10125.95,8908.847,1
1.757,45000,5,11548.98,10914.31,1.065899
1.757,45000,10,13320.88,12453.92,1.176528
1.757,45000,15,14751.03,13085.35,1.281539
1.757,45000,20,16055.89,13493.38,1.380699
1.757,45000,25,17632.02,13534.24,1.514708
1.757,45000,30,17949.327,13107.888,1.558507
1.506,30000,1,8701.109,8645.007,1
1.506,30000,5,9509.754,10049.563,1.039443
1.506,30000,10,10535.742,11136.806,1.112821
1.506,30000,15,11673.716,11787.175,1.20991
1.506,30000,20,12544.934,12085.465,1.28942
1.506,30000,25,13274.717,12169.343,1.361288
1.506,30000,30,14010.79,12208.413,1.435236
1.506,35000,1,9945.839,8873.21,1
1.506,35000,5,10591.93,10537.16,1.005664
1.506,35000,10,10568.511,11318.657,0.979793
1.506,35000,15,11593.906,11883.845,1.057539
1.506,35000,20,12671.939,12345.19,1.14129
1.506,35000,25,13596.716,12628.237,1.215361
1.506,35000,30,14110.872,12534.316,1.264462
1.506,35000,35,15135.01,12672.49,1.351287
1.506,35000,40,15140.74,12205.79,1.368813
1.506,35000,45,13694.373,11415.809,1.265976
1.506,40000,1,9812.109,8909.63,1
1.506,40000,5,9557.655,9983.3893,0.937813
1.506,40000,10,11261.94,11563.56,1.052221
1.506,40000,15,12118.67,12153.73,1.113634
1.506,40000,20,12595.546,12481.611,1.147231
1.506,40000,25,14314.92,12790.65,1.293249
1.506,40000,30,14545.577,12946.419,1.308796
2.008,30000,1,12777.613,9829.8081,1
2.008,30000,5,14285.265,12054.515,1.044489
2.008,30000,10,16145.343,13097.265,1.148292
2.008,30000,15,18256.17,13745.676,1.277673
2.008,30000,20,18306.69,14131.62,1.269437
2.008,30000,25,20842.793,13918.024,1.452653
2.008,30000,30,22047.312,13900.106,1.537263
2.008,40000,1,13414.72,10757.96,1
2.008,40000,5,14370.376,12150.181,1.028653
2.008,40000,10,16064.103,13337.411,1.114708
2.008,40000,15,18920.87,14181.27,1.286366
2.008,40000,20,20063.571,14556.48,1.352232
2.008,40000,25,21586.97,14514.53,1.456305
2.008,40000,30,22661.174,14747.323,1.520687
2.51,35000,1,21962.95,14011.64,1
2.51,35000,5,21962.95,14011.64,1
2.51,35000,10,22448.994,14687.193,1.006212
2.51,35000,15,25629.157,15552.472,1.127042
2.51,35000,20,28100.075,15734.188,1.230925
2.51,35000,25,29868.602,15864.921,1.304792
2.51,35000,30,30875.174,15551.962,1.357751
2.51,35000,35,30781.64,15606.01,1.352073
2.51,35000,40,31952.999,15466.563,1.40773
2.51,35000,45,29315.656,14416.987,1.322149
2.008,35000,1,13424.43,10611.06,1
2.008,35000,5,14186.76,11732.98,1.021969
2.008,35000,10,16027.064,13123.985,1.112216
2.008,35000,15,18139.652,13968.221,1.232932
2.008,35000,20,17507.892,14249.503,1.182109
2.008,35000,25,21545.72,14559.998,1.444323
2.008,35000,30,22178.795,14310.632,1.495347
2.008,35000,35,22811.633,14225.99,1.541059
2.008,35000,40,23158.64,14179.62,1.566205
2.008,35000,45,21535.948,13554.098,1.478532
2.008,35000,50,20694.347,12585.988,1.456285
2.51,40000,1,22122.23,14243.68,1
2.51,40000,5,22122.23,14243.68,1
2.51,40000,10,23897.23,14983.12,1.062165
2.51,40000,15,25805.32,15502.29,1.134025
2.51,40000,20,27111.71,15661.5,1.187383
2.51,40000,25,29090.95,15807.53,1.270131
2.51,40000,30,30781.64,15606.01,1.349707
2.51,40000,35,30781.64,15606.01,1.349707
2.51,40000,40,30898.06,15046.73,1.371394
2.51,40000,45,30106.86,14731.86,1.345731
